NDVI,EVI,RED,SWIR,Area,Biomass
0.30668485,0.209998717,0.11596,0.17914,250000,21.802182
-0.09328999,-0.042497544,0.10784,0.05842,250000,-26.1947988
0.5033483,0.367436587,0.08598,0.13102,250000,45.401796
0.29057923,0.220199257,0.14042,0.26358,250000,19.8695076
0.24847046,0.174753366,0.14322,0.35856,250000,14.8164552
-0.32603437,-0.120965083,0.101608336,0.042975,250000,-54.1241244
-0.3257183,-0.120649971,0.103700005,0.043941665,250000,-54.086196
-0.32094404,-0.120998958,0.106675,0.043791667,250000,-53.5132848
-0.3021594,-0.122920145,0.110575,0.044191666,250000,-51.259128
-0.30389196,-0.124525906,0.11223333,0.044016667,250000,-51.4670352
-0.2906807,-0.119021036,0.1081,0.043933332,250000,-49.881684
-0.29086366,-0.1214322,0.1115,0.0469,250000,-49.9036392
-0.2678457,-0.117665265,0.114250004,0.047866665,250000,-47.141484
-0.2929651,-0.11580508,0.10885,0.04535,250000,-50.155812
0.35338312,0.252465223,0.12635,0.28881666,250000,27.4059744
0.27782184,0.200348069,0.15063334,0.30778334,250000,18.3386208
0.3803316,0.246974181,0.1059,0.25441667,250000,30.639792
0.21651776,0.144331805,0.1472,0.31271666,250000,10.9821312
0.24682397,0.17604064,0.14933333,0.33351666,250000,14.6188764
0.36655134,0.320104756,0.1373,0.2212,250000,28.9861608
0.4681824,0.363496224,0.1044,0.22113334,250000,41.181888
0.3497253,0.295808855,0.1481,0.259325,250000,26.967036
0.5407386,0.3607718,0.084340006,0.15148,250000,49.888632
0.33056816,0.258820708,0.13584,0.27032,250000,24.6681792
0.31971714,0.247135535,0.137,0.24634,250000,23.3660568
0.36529073,0.270204149,0.12562,0.26088,250000,28.8348876
0.35575238,0.251858946,0.123775005,0.24775,250000,27.6902856
0.45246464,0.307702087,0.094960004,0.20784,250000,39.2957568
0.28748763,0.222941185,0.138725,0.27315,250000,19.4985156
0.1477032,0.098467665,0.13726,0.24856,250000,2.724384
0.17413093,0.122559868,0.1436,0.26446,250000,5.8957116
0.57733315,0.417284589,0.07608333,0.12253334,250000,54.279978
0.5122917,0.379566739,0.08504,0.1222,250000,46.475004
-0.06543077,-0.031995661,0.098633334,0.057366665,250000,-22.8516924
0.31092003,0.20772635,0.113199994,0.2419,250000,22.3104036
0.20886831,0.157513059,0.16982,0.35724,250000,10.0641972
0.34446073,0.244441173,0.1109,0.24322,250000,26.3352876
-0.33092606,-0.12489692,0.1043,0.043625,250000,-54.7111272
-0.32836363,-0.1227783,0.1051,0.043408334,250000,-54.4036356
-0.33030465,-0.125125789,0.108575,0.04385,250000,-54.636558
-0.3244133,-0.124292997,0.10874166,0.043866668,250000,-53.929596
-0.32145554,-0.127612376,0.11068334,0.044216666,250000,-53.5746648
-0.29995263,-0.126589955,0.11266667,0.04435,250000,-50.9943156
-0.30368486,-0.121296622,0.11015,0.04535,250000,-51.4421832
-0.26864165,-0.119263169,0.11348333,0.045183334,250000,-47.236998
-0.29984412,-0.117658875,0.11308333,0.045366667,250000,-50.9812944
0.21626617,0.15539633,0.15198334,0.29581666,250000,10.9519404
0.5888466,0.514850678,0.0904,0.1897,250000,55.661592
0.58847153,0.443415353,0.08033334,0.21043333,250000,55.6165836
0.44190162,0.288477983,0.09503333,0.18736666,250000,38.0281944
0.25392106,0.184072862,0.15475,0.32378334,250000,15.4705272
0.40224013,0.306729581,0.12196,0.26738,250000,33.2688156
0.52669954,0.429412081,0.106275,0.23605,250000,48.2039448
0.38375908,0.27885399,0.11798,0.23168,250000,31.0510896
0.33656043,0.248149722,0.1279,0.22462,250000,25.3872516
0.28746983,0.202255128,0.13606,0.25844,250000,19.4963796
0.3617029,0.243726806,0.11781667,0.25886667,250000,28.404348
0.5439075,0.381962173,0.07915,0.1777,250000,50.2689
0.55560684,0.406569042,0.085266665,0.19196667,250000,51.6728208
0.36978188,0.261026019,0.11928,0.22344,250000,29.3738256
0.17760554,0.128752581,0.14895,0.24286667,250000,6.3126648
0.17329295,0.128134085,0.1336,0.208125,250000,5.795154
0.58775353,0.494806112,0.08444,0.13106,250000,55.5304236
0.63146496,0.494843916,0.07371667,0.124183334,250000,60.7757952
-0.10395423,-0.035251306,0.09493333,0.050033335,250000,-27.4745076
0.20037057,0.143076897,0.13948,0.22758,250000,9.0444684
0.27869,0.211458402,0.13246667,0.27258334,250000,18.4428
0.3216305,0.224345275,0.11846,0.25048,250000,23.59566
0.48909673,0.482741278,0.1207,0.23396,250000,43.6916076
0.50416946,0.416158183,0.09555,0.21166667,250000,45.5003352
-0.27963173,-0.119926747,0.12511666,0.046816666,250000,-48.5558076
-0.037504543,-0.014288895,0.111766666,0.0906,250000,-19.50054516
-0.14827152,-0.057009078,0.11285,0.06481667,250000,-32.7925824
0.53335625,0.407231283,0.09148333,0.23416667,250000,49.00275
0.51457816,0.36084864,0.08733334,0.18013333,250000,46.7493792
0.4516007,0.277780691,0.08648,0.18388,250000,39.192084
0.23523673,0.161659348,0.13861667,0.28086665,250000,13.2284076
0.29501033,0.192140861,0.1189,0.22452,250000,20.4012396
0.27236485,0.197932284,0.14776,0.33308,250000,17.683782
0.3135589,0.214170064,0.12524,0.22078,250000,22.627068
0.268656,0.175886122,0.12998334,0.27418333,250000,17.23872
0.45217904,0.311729634,0.09455,0.23255,250000,39.2614848
0.5169022,0.406481779,0.09375,0.20916666,250000,47.028264
0.55088574,0.395027015,0.07971667,0.19441667,250000,51.1062888
0.48351267,0.368638716,0.094516665,0.1766,250000,43.0215204
0.14740397,0.101974496,0.12855,0.210925,250000,2.6884764
0.34163088,0.252190278,0.11554,0.13924,250000,25.9957056
0.57362336,0.478290005,0.08602,0.13174,250000,53.8348032
-0.06932494,-0.03548093,0.10864,0.0575,250000,-23.3189928
-0.07518161,-0.0314365,0.0985,0.05595,250000,-24.0217932
0.20384908,0.144900546,0.1439,0.31502,250000,9.4618896
0.33862805,0.25228259,0.1184,0.22222,250000,25.635366
0.23313518,0.168209452,0.14642,0.35112,250000,12.9762216
0.5512271,0.499433049,0.09972,0.23628,250000,51.147252
0.43008056,0.385397157,0.1227,0.22506,250000,36.6096672
0.42282397,0.320603072,0.10473333,0.254,250000,35.7388764
-0.30021435,-0.124106532,0.11196667,0.044716667,250000,-51.025722
-0.30273017,-0.120760494,0.11005,0.045033332,250000,-51.3276204
-0.2703764,-0.106069251,0.11061667,0.046516668,250000,-47.445168
-0.001373127,-0.002065544,0.13456666,0.1076,250000,-15.16477526
0.46720186,0.351637015,0.10006667,0.18323334,250000,41.0642232
0.31204292,0.211513295,0.12656666,0.29516667,250000,22.4451504
0.26956218,0.183755989,0.14016,0.30262,250000,17.3474616
0.39313164,0.254854462,0.10235,0.23155,250000,32.1757968
0.2373663,0.173897632,0.15742,0.32304,250000,13.483956
0.31091595,0.21498646,0.12926666,0.27723333,250000,22.309914
0.5484364,0.454132805,0.09666667,0.2512,250000,50.812368
0.4932084,0.40543744,0.105299994,0.22811666,250000,44.185008
0.62473506,0.593653802,0.0911,0.23056,250000,59.9682072
0.3456561,0.247150471,0.1283,0.27126667,250000,26.478732
0.4814359,0.396155127,0.10486667,0.216,250000,42.772308
0.20282373,0.137100721,0.12548,0.23598,250000,9.3388476
0.25251666,0.163345344,0.1019,0.10066,250000,15.3019992
-0.10442581,-0.047237772,0.102683336,0.0516,250000,-27.5310972
-0.076840624,-0.039122739,0.10786,0.05896,250000,-24.22087488
0.17083246,0.128200001,0.16436,0.29544,250000,5.4998952
0.24622323,0.179079312,0.13826,0.28924,250000,14.5467876
0.36087635,0.281766676,0.120000005,0.21428,250000,28.305162
0.35118845,0.23890551,0.11385,0.24306667,250000,27.142614
